order_id,customer_id,order_date,ship_date,ship_mode
OR-300332,CU-100480,2023-07-20,2023-07-21,Second Class
OR-300333,CU-102995,2022-03-23,2022-03-25,First Class
OR-300334,CU-100846,2023-02-22,2023-02-28,Second Class
OR-300335,CU-102070,2024-09-16,2024-09-17,Second Class
OR-300336,CU-102215,2023-08-01,2023-08-08,Second Class
OR-300337,CU-101550,2022-07-25,2022-07-26,First Class
OR-300338,CU-102753,2022-11-22,2022-11-24,Standard Class
OR-300339,CU-102780,2022-10-09,2022-10-15,Second Class
OR-300340,CU-102529,2023-11-26,2023-12-02,Second Class
OR-300341,CU-101574,2022-05-31,2022-06-06,First Class
OR-300342,CU-100024,2023-03-19,2023-03-23,Same Day
OR-300343,CU-100977,2024-06-07,2024-06-14,Standard Class
OR-300344,CU-102426,2022-08-31,2022-09-02,Standard Class
OR-300345,CU-101884,2024-01-30,2024-02-04,Same Day
OR-300346,CU-102709,2023-10-21,2023-10-24,First Class
OR-300347,CU-100370,2022-09-12,2022-09-17,Standard Class
OR-300348,CU-102168,2023-03-09,2023-03-12,First Class
OR-300349,CU-101672,2022-07-30,2022-08-06,Same Day
OR-300350,CU-101663,2022-02-02,2022-02-04,Second Class
OR-300351,CU-100384,2023-10-10,2023-10-14,Standard Class
OR-300352,CU-101082,2024-01-19,2024-01-21,Standard Class
OR-300353,CU-101230,2024-04-08,2024-04-13,Second Class
OR-300354,CU-102842,2024-09-06,2024-09-13,Same Day
OR-300355,CU-100410,2023-01-16,2023-01-18,Standard Class
OR-300356,CU-101658,2023-08-16,2023-08-19,Standard Class
OR-300357,CU-102431,2023-01-18,2023-01-21,Second Class
OR-300358,CU-100773,2023-04-12,2023-04-19,Second Class
OR-300359,CU-101344,2023-07-05,2023-07-11,First Class
OR-300360,CU-100905,2022-09-12,2022-09-13,Standard Class
OR-300361,CU-100138,2024-03-26,2024-03-30,First Class
OR-300362,CU-102900,2023-09-02,2023-09-08,Standard Class
OR-300363,CU-101753,2024-07-17,2024-07-21,Second Class
OR-300364,CU-101652,2023-06-22,2023-06-26,Standard Class
OR-300365,CU-102218,2023-07-23,2023-07-30,Standard Class
OR-300366,CU-101707,2024-06-12,2024-06-15,Second Class
OR-300367,CU-102399,2024-12-28,2025-01-04,Standard Class
OR-300368,CU-100066,2022-01-09,2022-01-15,Standard Class
OR-300369,CU-102175,2023-09-15,2023-09-19,First Class
OR-300370,CU-102052,2024-12-13,2024-12-15,Second Class
OR-300371,CU-102138,2022-04-12,2022-04-16,Standard Class
OR-300372,CU-101110,2024-03-12,2024-03-13,First Class
OR-300373,CU-100576,2024-05-04,2024-05-05,Same Day
OR-300374,CU-101442,2022-07-24,2022-07-26,First Class
OR-300375,CU-100717,2023-06-10,2023-06-17,First Class
OR-300376,CU-100955,2023-10-14,2023-10-21,Same Day
OR-300377,CU-100186,2023-09-03,2023-09-10,First Class
OR-300378,CU-102190,2023-04-03,2023-04-04,First Class
OR-300379,CU-101774,2022-05-16,2022-05-23,Same Day
OR-300380,CU-101546,2024-10-04,2024-10-07,Standard Class
OR-300381,CU-100004,2022-12-12,2022-12-18,First Class
OR-300382,CU-100071,2024-08-17,2024-08-19,First Class
OR-300383,CU-102497,2024-01-19,2024-01-20,First Class
OR-300384,CU-100651,2023-02-17,2023-02-18,Second Class
OR-300385,CU-102633,2024-01-09,2024-01-15,Same Day
OR-300386,CU-102630,2022-06-27,2022-06-30,Standard Class
OR-300387,CU-101562,2024-01-11,2024-01-18,First Class
OR-300388,CU-102372,2022-02-25,2022-02-27,Second Class
OR-300389,CU-102926,2024-07-06,2024-07-07,First Class
OR-300390,CU-102106,2022-05-16,2022-05-19,Standard Class
OR-300391,CU-101815,2024-04-21,2024-04-23,Standard Class
OR-300392,CU-102587,2022-02-27,2022-03-05,First Class
OR-300393,CU-102211,2024-12-07,2024-12-13,Same Day
OR-300394,CU-102000,2022-01-15,2022-01-19,Same Day
OR-300395,CU-101970,2022-10-28,2022-11-02,Second Class
OR-300396,CU-101694,2024-11-28,2024-12-05,Second Class
OR-300397,CU-102695,2023-03-23,2023-03-24,First Class
OR-300398,CU-101121,2023-07-28,2023-07-31,Standard Class
OR-300399,CU-102654,2023-10-23,2023-10-30,Standard Class
OR-300400,CU-100153,2024-06-15,2024-06-22,Same Day
OR-300401,CU-101733,2024-05-25,2024-05-28,Standard Class
OR-300402,CU-100895,2024-10-18,2024-10-23,Second Class
OR-300403,CU-100656,2022-10-29,2022-11-04,Same Day
OR-300404,CU-101357,2024-01-25,2024-01-31,First Class
OR-300405,CU-101041,2023-05-22,2023-05-27,Same Day
OR-300406,CU-102497,2022-08-24,2022-08-28,Standard Class
OR-300407,CU-102734,2024-09-09,2024-09-13,Standard Class
OR-300408,CU-100988,2023-02-17,2023-02-24,Standard Class
OR-300409,CU-100477,2023-01-22,2023-01-26,Same Day
OR-300410,CU-102862,2023-03-27,2023-03-30,Standard Class
OR-300411,CU-101724,2024-09-26,2024-09-29,Standard Class
OR-300412,CU-101246,2023-07-20,2023-07-27,Same Day
OR-300413,CU-101435,2022-05-09,2022-05-13,First Class
OR-300414,CU-102633,2024-02-21,2024-02-26,First Class
OR-300415,CU-100732,2023-11-17,2023-11-20,Standard Class
OR-300416,CU-102195,2023-04-14,2023-04-19,Standard Class
OR-300417,CU-100609,2024-01-03,2024-01-04,Standard Class
OR-300418,CU-101805,2024-10-11,2024-10-17,Same Day
OR-300419,CU-101774,2024-09-12,2024-09-17,Same Day
OR-300420,CU-102750,2024-04-10,2024-04-16,First Class
OR-300421,CU-100803,2022-01-26,2022-01-30,Standard Class
OR-300422,CU-101373,2023-11-18,2023-11-24,Standard Class
OR-300423,CU-102319,2022-10-18,2022-10-19,Standard Class
OR-300424,CU-100112,2022-07-15,2022-07-21,Standard Class
OR-300425,CU-102358,2022-07-26,2022-07-28,Second Class
OR-300426,CU-101686,2023-08-04,2023-08-07,Second Class
OR-300427,CU-102390,2024-11-14,2024-11-18,Same Day
OR-300428,CU-101939,2023-05-12,2023-05-15,First Class
OR-300429,CU-101655,2024-01-30,2024-02-06,First Class
OR-300430,CU-101514,2023-05-20,2023-05-27,Standard Class
OR-300431,CU-100853,2024-04-15,2024-04-17,First Class
OR-300432,CU-101387,2024-08-30,2024-08-31,Second Class
OR-300433,CU-100414,2024-03-16,2024-03-22,Second Class
OR-300434,CU-101612,2024-11-21,2024-11-27,Second Class
OR-300435,CU-100573,2024-03-02,2024-03-08,First Class
OR-300436,CU-101324,2023-07-24,2023-07-31,Second Class
OR-300437,CU-102396,2023-09-08,2023-09-09,Second Class
OR-300438,CU-102255,2023-04-05,2023-04-07,First Class
OR-300439,CU-101011,2023-07-12,2023-07-18,Standard Class
OR-300440,CU-102727,2024-05-08,2024-05-15,Same Day
OR-300441,CU-102983,2022-05-08,2022-05-09,Same Day
OR-300442,CU-100158,2022-11-05,2022-11-10,Same Day
OR-300443,CU-100638,2022-05-03,2022-05-05,First Class
OR-300444,CU-102226,2024-02-22,2024-02-23,Standard Class
OR-300445,CU-101242,2024-08-08,2024-08-14,Standard Class
OR-300446,CU-102588,2023-09-05,2023-09-08,Second Class
OR-300447,CU-102517,2022-08-16,2022-08-22,Same Day
OR-300448,CU-100621,2022-09-01,2022-09-04,First Class
